Id,GovernorateId,NameEn,NameAr,GovernorateNameEn,GovernorateNameAr
1,1,Zububa,زبوبه,Jenin,جنين
2,1,Rummana,رمانة,Jenin,جنين
3,1,Ti'innik,تعنك,Jenin,جنين
4,1,At Tayba,الطيبة,Jenin,جنين
5,1, 'Arabbuna,عربونة,Jenin,جنين
6,1,Al Jalama,الجلمة,Jenin,جنين
7,1,Silat al Harithiya,سيلة الحارثية,Jenin,جنين
8,1,As Sa'aida,السعايدة,Jenin,جنين
9,1,'Anin,عانين,Jenin,جنين
10,1,'Arrana,عرانة,Jenin,جنين
11,1,Deir Ghazala,دير غزالة,Jenin,جنين
12,1,Faqqu'a,فقوعة,Jenin,جنين
13,1,Khirbet Suruj,خربة سروج,Jenin,جنين
14,1,Al Yamun,اليامون,Jenin,جنين
15,1,Umm ar Rihan,أم الريحان,Jenin,جنين
16,1,Kafr Dan,كفر دان,Jenin,جنين
17,1,Khirbet 'Abdallah al Yunis,خربة عبد الله اليونس,Jenin,جنين
18,1,Dhaher al Malih,ظهر المالح,Jenin,جنين
19,1,Barta'a ash Sharqiya ,برطعة الشرقية,Jenin,جنين
20,1,Al 'Araqa,العرقة,Jenin,جنين
21,1,Al Jameelat,الجميلات,Jenin,جنين
22,1,Beit Qad,بيت قاد,Jenin,جنين
23,1,Tura al Gharbiya,طورة الغربية,Jenin,جنين
24,1,Tura ash Sharqiya,طورة الشرقية,Jenin,جنين
25,1,Al Hashimiya,الهاشمية,Jenin,جنين
26,1,Nazlat ash Sheikh Zeid,نزلة الشيخ زيد,Jenin,جنين
27,1,At Tarem,الطرم,Jenin,جنين
28,1,Khirbet al Muntar al Gharbiya,خربة المنطار الغربية,Jenin,جنين
29,1,Jenin,جنين,Jenin,جنين
30,1,Jenin Camp,مخيم جنين,Jenin,جنين
31,1,Jalbun,جلبون,Jenin,جنين
32,1,'Aba,عابا,Jenin,جنين
33,1, Khirbet Mas'ud,خربة مسعود (عراق الدوار),Jenin,جنين
34,1,Khirbet al Muntar ash Sharqiya,خربة المنطار الشرقية,Jenin,جنين
35,1,Kafr Qud ,كفر قود,Jenin,جنين
36,1,Deir Abu Da'if,دير ابو ضعيف,Jenin,جنين
37,1,Birqin,برقين,Jenin,جنين
38,1,Umm Dar,أم دار,Jenin,جنين
39,1,Al Khuljan, الخلجان,Jenin,جنين
40,1,Wad ad Dabi',وادي الضبع,Jenin,جنين
41,1,Dhaher al 'Abed,ظهر العبد,Jenin,جنين
42,1,Zabda ,زبدة,Jenin,جنين
43,1,Ya'bad,يعبد,Jenin,جنين
44,1,Kufeirit,كفيرت,Jenin,جنين
45,1,Imreiha,إمريحة,Jenin,جنين
46,1,Umm at Tut,أم التوت,Jenin,جنين
47,1,Ash Shuhada, الشهداء,Jenin,جنين
48,1,Jalqamus,جلقموس,Jenin,جنين
49,1,Al Mughayyir,المغير,Jenin,جنين
50,1,Al Mutilla,المطلة,Jenin,جنين
51,1,Bir al Basha,بير الباشا,Jenin,جنين
52,1,Al Hafira,الحفيرة (حفيرة عرابه),Jenin,جنين
53,1,Qabatiya ,قباطية,Jenin,جنين
54,1,Arraba ,عرابة,Jenin,جنين
55,1,Telfit,تلفيت,Jenin,جنين
56,1,Mirka,مركة,Jenin,جنين
57,1,Wadi Du'oq,وادي دعوق,Jenin,جنين
58,1,Fahma al Jadida,فحمة الجديدة,Jenin,جنين
59,1,Raba ,رابا,Jenin,جنين
60,1,Al Mansura,المنصورة,Jenin,جنين
61,1,Misliya,مسلية,Jenin,جنين
